datum,prvih_pet,zadnji_dve,zmagovalci,sodelujoči
17-09-2021,"14,17,20,27,32","3,7","1,022,567","21,713,578"
24-09-2021,"12,22,35,38,49","5,10","838,343","23,170,143"
01-10-2021,"20,33,34,37,39","4,8","830,624","21,635,447"
08-10-2021,"20,28,32,38,46","6,8","817,298","23,098,832"
15-10-2021,"2,6,8,21,25","6,9","963,253","24,647,244"
22-10-2021,"15,33,34,38,43","3,7","927,552","21,430,437"
29-10-2021,"11,23,37,38,44","4,8","896,781","21,043,980"
05-11-2021,"6,13,25,31,49","2,7","878,724","21,095,832"
12-11-2021,"4,30,43,44,46","1,3","676,935","20,867,222"
19-11-2021,"6,12,20,21,34","4,5","914,375","22,429,302"
26-11-2021,"7,17,21,37,39","3,5","1,036,667","23,568,452"
03-12-2021,"2,5,13,15,23","6,8","1,094,955","26,385,872"
10-12-2021,"8,9,30,34,48","5,8","1,139,614","29,307,282"
17-12-2021,"6,8,16,44,50","1,10","1,106,102","33,637,128"
24-12-2021,"3,17,21,35,42","8,9","906,174","23,831,507"
31-12-2021,"7,16,36,42,43","6,8","914,699","25,123,251"
07-01-2022,"8,17,21,23,47","2,6","927,530","22,959,465"
14-01-2022,"9,15,27,41,44","2,4","960,710","24,880,992"
21-01-2022,"2,5,9,29,32","2,4","1,119,783","27,576,142"
28-01-2022,"5,21,23,29,35","7,9","883,709","21,601,408"
04-02-2022,"12,18,27,33,41","9,10","750,419","21,480,043"
11-02-2022,"5,10,26,37,42","3,10","821,025","22,924,040"
18-02-2022,"5,10,25,29,32","4,7","1,065,378","24,543,276"
25-02-2022,"4,19,34,41,43","1,5","924,213","25,994,320"
04-03-2022,"1,17,20,36,49","6,9","997,985","28,112,529"
11-03-2022,"5,31,39,46,49","8,9","1,095,187","32,293,459"
18-03-2022,"1,8,33,38,43","2,6","1,358,373","37,209,873"
25-03-2022,"11,20,31,35,46","6,10","606,916","20,718,978"
29-03-2022,"10,15,18,24,39","2,11","213,539","7,573,345"
01-04-2022,"7,8,35,37,49","5,8","798,720","20,788,399"
05-04-2022,"9,10,28,38,48","8,12","204,097","7,497,223"
08-04-2022,"2,26,41,45,48","5,12","435,767","19,660,255"
12-04-2022,"19,20,24,36,41","4,5","269,484","8,299,635"
15-04-2022,"2,5,10,20,24","4,7","786,433","19,295,296"
19-04-2022,"3,7,15,17,35","3,4","319,238","7,921,169"
22-04-2022,"2,18,28,42,50","2,11","506,418","20,133,690"
26-04-2022,"10,27,32,41,49","1,9","289,436","9,615,862"
29-04-2022,"5,6,17,18,34","1,11","565,316","369,292"
03-05-2022,"6,13,22,24,30","5,10","364,812","10,613,549"
06-05-2022,"5,6,39,49,50","10,12","548,103","23,949,871"
10-05-2022,"3,7,34,43,50","5,10","397,667","12,669,195"
13-05-2022,"7,13,30,43,47","7,11","860,120","28,947,751"
17-05-2022,"2,13,41,45,50","2,3","541,089","17,838,232"
20-05-2022,"4,22,28,32,47","1,2","1,205,399","39,193,402"
24-05-2022,"25,26,40,45,47","4,5","283,742","9,505,658"
27-05-2022,"8,26,29,41,48","3,5","637,979","18,922,018"
31-05-2022,"14,30,37,39,50","4,12","213,326","8,407,850"
03-06-2022,"4,22,27,39,41","1,9","597,875","19,146,319"
07-06-2022,"5,7,45,48,49","3,8","305,559","8,606,537"
10-06-2022,"3,21,23,28,46","10,12","475,493","19,376,729"
14-06-2022,"11,28,30,35,50","7,8","309,687","9,629,653"
17-06-2022,"1,2,23,43,45","1,9","594,197","19,880,708"
21-06-2022,"6,10,17,29,49","2,5","371,785","10,484,404"
24-06-2022,"13,24,30,35,48","4,5","726,056","21,345,713"
28-06-2022,"2,10,23,29,50","3,10","362,689","11,073,386"
01-07-2022,"4,10,24,34,35","7,8","794,872","23,340,834"
05-07-2022,"7,16,28,36,43","2,11","398,475","13,372,482"
08-07-2022,"6,10,22,30,36","8,10","863,718","26,987,830"
12-07-2022,"3,16,26,30,47","1,2","533,233","17,722,472"
15-07-2022,"9,11,16,19,32","3,5","1,389,098","36,775,081"
19-07-2022,"20,23,24,37,43","9,10","882,897","28,718,389"
22-07-2022,"1,11,17,19,33","3,7","1,924,642","47,706,131"
26-07-2022,"1,2,7,24,25","2,5","418,434","11,028,256"
29-07-2022,"14,26,29,46,50","10,11","455,772","19,658,287"
02-08-2022,"6,11,39,40,47","7,8","336,806","10,868,627"
05-08-2022,"10,12,17,31,49","2,8","757,945","20,965,839"
